x,y,sina,cosa,dist_emitter,dist_receiver,dist_wall,dist_corner
21.133,2.9029,0.141884,0.989883,11.297291,11.314211,2.367,3.7456
2.7984,4.9695,0.456515,-0.889716,8.038073,7.252145,2.7984,4.583838
9.7356,2.2967,0.977637,0.210299,1.019499,2.249262,2.2967,8.935794
18.3844,2.3724,0.126131,0.992014,8.502302,8.709463,2.3724,5.63894
18.5926,6.3311,0.503094,0.864232,10.000325,8.934198,2.2689,5.406522
12.8772,5.5876,0.825883,-0.563841,5.191533,3.350584,3.0124,11.041668
13.2259,2.4555,0.332641,0.943054,3.473716,3.890206,2.4555,10.563456
6.6592,3.0159,0.462346,-0.8867,3.711291,3.671277,3.0159,6.324584
11.9464,4.8997,0.874511,-0.485005,4.116243,2.31198,3.7003,11.901742
10.7423,6.4436,0.988343,-0.152241,5.204264,2.494546,2.1564,10.956599
14.4342,4.765,0.61144,0.79129,5.666946,4.617821,3.835,9.843574
13.9869,3.361,0.454708,0.890641,4.53258,4.2636,3.361,10.08937
4.6954,3.3878,0.369249,-0.92933,5.654178,5.426134,3.3878,4.94005
15.6918,3.8624,0.407531,0.913191,6.28762,5.844635,3.8624,8.711264
6.913,3.2486,0.540021,-0.841652,3.608381,3.36583,3.2486,6.659157
19.1914,2.5661,0.135735,0.990745,9.327727,9.45568,2.5661,5.014868
13.5273,4.8481,0.704203,0.709999,5.038461,3.754662,3.7519,10.655116
2.2806,5.721,0.499413,-0.866364,8.852397,7.863774,2.2806,3.672843
7.4901,5.1426,0.842208,0.539153,4.56253,2.785872,3.4574,8.202421
3.585,5.8995,0.585704,-0.810525,7.852937,6.638646,2.7005,4.48831
6.0478,2.0418,0.186753,-0.982407,3.972082,4.618077,2.0418,5.352539
14.6038,4.255,0.536035,0.844196,5.512702,4.760239,4.255,9.86141
2.5574,4.2282,0.368262,-0.929722,7.951408,7.460274,2.5574,4.472325
8.3035,2.3345,0.532008,-0.846739,1.944519,2.752118,2.3345,7.572338
19.0551,6.2376,0.476706,0.879063,10.357738,9.362539,2.3624,5.033693
17.1441,5.9404,0.542048,0.840347,8.560864,7.446206,2.6596,6.889916
3.1652,4.0823,0.379415,-0.925226,7.333124,6.861553,3.1652,4.574956
3.3184,3.9751,0.374097,-0.92739,7.150824,6.714438,3.3184,4.552221
11.4931,5.1192,0.92718,-0.374616,4.119156,2.013019,3.4808,11.585454
2.1509,3.4686,0.267894,-0.963448,8.094985,7.906781,2.1509,3.624304
4.4656,3.7001,0.400913,-0.916116,5.986579,5.607007,3.7001,5.0018
4.9693,4.3872,0.526837,-0.849966,5.859879,5.080844,4.2128,5.849701
19.4527,6.3162,0.466823,0.884351,10.745398,9.765571,2.2838,4.647191
17.3186,5.2334,0.470913,0.88218,8.352718,7.494498,3.3666,7.038729
11.0456,6.5683,0.979053,-0.203605,5.381015,2.710263,2.0317,11.230899
6.4793,2.8479,0.407317,-0.913287,3.800231,3.892859,2.8479,6.086658
18.2176,3.5912,0.267064,0.963679,8.579208,8.357967,3.5912,6.387524
10.9319,5.4011,0.972514,-0.232843,4.217007,1.782288,3.1989,11.21776
9.4542,4.0043,0.983606,0.180332,2.749374,1.154667,4.0043,9.26429
15.9247,5.6684,0.590217,0.807245,7.401348,6.210439,2.9316,8.122773
10.4459,3.1059,0.964304,-0.264798,1.87275,1.634562,3.1059,9.848475
3.5183,3.1727,0.279558,-0.960129,6.698789,6.605874,3.1727,3.989261
9.8852,5.0071,0.999847,0.017477,3.707666,1.226454,3.5929,10.111913
12.4646,4.5889,0.794409,-0.607383,4.140058,2.721521,4.0111,11.741762
15.266,4.3985,0.503568,0.863956,6.153093,5.410135,4.2015,9.24399
11.5823,5.0742,0.917838,-0.396955,4.112054,2.064894,3.5258,11.645863
9.3078,3.0771,0.940475,0.339864,1.889578,1.705258,3.0771,8.765645
15.1243,5.2178,0.60365,0.79725,6.490188,5.349368,3.3822,9.032808
20.027,4.7494,0.323856,0.946106,10.651023,10.136463,3.473,5.185446
11.789,4.5609,0.871034,-0.491224,3.743713,2.1095,4.0391,11.621382
19.5797,6.1831,0.452263,0.891884,10.797027,9.86292,2.4169,4.605449
8.2337,5.4116,0.922827,0.385215,4.455439,2.276256,3.1884,8.82948
10.3266,5.629,0.996237,-0.086667,4.34535,1.705306,2.971,10.745488
10.1574,3.534,0.995718,-0.09244,2.243607,1.276625,3.534,9.72243
16.4414,2.2198,0.140294,0.99011,6.556242,6.889521,2.2198,7.399415
12.6675,2.1826,0.3089,0.951094,2.857235,3.587226,2.1826,11.050195
5.3274,4.0458,0.510694,-0.859762,5.376602,4.736354,4.0458,5.851445
6.8318,2.9469,0.467021,-0.884246,3.526393,3.54317,2.9469,6.444979
7.7882,5.2897,0.879226,0.476405,4.53774,2.579319,3.3103,8.462514
7.161,5.8325,0.851678,0.524066,5.321849,3.335727,2.7675,7.677172
