EDT_62.5Hz,EDT_125Hz,EDT_250Hz,EDT_500Hz,EDT_1kHz,EDT_2kHz,EDT_4kHz,EDT_8kHz,C50_62.5Hz,C50_125Hz,C50_250Hz,C50_500Hz,C50_1kHz,C50_2kHz,C50_4kHz,C50_8kHz,C80_62.5Hz,C80_125Hz,C80_250Hz,C80_500Hz,C80_1kHz,C80_2kHz,C80_4kHz,C80_8kHz
1.571298,1.660107,1.797399,1.790915,1.893819,2.011899,2.039778,1.818283,0.180776,-0.167473,-0.389819,-0.717869,-0.90793,-1.228245,-1.45902,-0.692816,2.59344,2.126223,1.892426,1.625004,1.408856,0.850687,0.544358,1.416748
1.494275,1.543091,1.692294,1.750649,1.807777,1.898,1.93528,1.737974,0.698965,0.35005,-0.061476,-0.282181,-0.537337,-0.780563,-0.976126,-0.300312,2.843607,2.43136,2.033921,1.824395,1.473757,1.224204,0.822745,1.729167
1.532934,1.611837,1.678146,1.689408,1.736355,1.814834,1.822603,1.629509,-2.412439,-2.742593,-2.944776,-3.680795,-3.880809,-4.465615,-5.592523,-5.425842,0.722242,0.385594,0.167957,-0.22247,-0.373028,-1.008255,-2.086477,-2.10849
1.55579,1.594321,1.789137,1.81926,1.838957,1.924985,1.922772,1.740757,0.073979,-0.285777,-0.634871,-0.999228,-1.05665,-1.23538,-1.355926,-0.929561,2.554932,2.145392,1.760989,1.474586,1.439605,1.045931,0.62854,1.07469
1.51501,1.658704,1.72167,1.780138,1.870077,1.935563,1.983024,1.742024,0.151626,-0.138497,-0.615821,-0.853797,-1.067864,-1.18527,-1.156925,-0.750917,2.522986,2.111083,1.661298,1.40771,1.112969,0.956885,0.927933,1.15695
1.376453,1.449537,1.510071,1.610119,1.641097,1.679871,1.784882,1.558562,0.465796,0.190389,-0.088796,-0.340443,-0.454176,-0.412638,-0.168996,0.237428,3.089416,2.803565,2.443342,2.230396,2.083132,2.064192,1.773652,2.070811
1.417845,1.472313,1.533998,1.608596,1.669933,1.720249,1.678912,1.508936,1.138036,0.971631,0.636197,0.339053,0.190477,0.022441,-0.080843,0.534478,3.54132,3.359893,2.972129,2.654843,2.4882,2.137935,2.048805,2.538143
1.475973,1.572998,1.658111,1.75203,1.75212,1.825075,1.801614,1.585455,1.148549,0.91246,0.603305,0.287968,0.004891,-0.130754,-0.17008,-0.000146,3.134341,2.814852,2.505464,2.108474,1.85179,1.590636,1.484943,2.128027
1.346573,1.42107,1.525493,1.502483,1.597918,1.598346,1.69506,1.504964,1.232923,1.019529,0.58752,0.405152,0.188346,0.24371,0.098773,1.160948,3.677758,3.467306,2.954313,2.846848,2.567392,2.627223,2.314773,2.997182
1.466791,1.544775,1.615399,1.694206,1.6583,1.799166,1.8419,1.472895,0.473323,0.27135,0.001856,-0.165805,-0.164179,-0.347957,-0.387483,0.051792,3.042114,2.832917,2.500341,2.310056,2.408607,1.941147,1.497712,2.564739
