X,Y,Tr
16.2605,5.7906,2.080654
2.2392,2.3584,2.101423
12.9678,0.9662,2.116785
9.3426,1.4876,2.067151
11.928,8.3462,2.069434
3.2071,3.8162,2.08178
2.8963,4.5307,2.085948
6.367,6.0221,2.053639
4.6809,4.6977,2.044906
0.6063,7.3905,2.172567
7.4028,6.5323,2.107611
17.9937,1.1667,2.097471
1.1271,1.2813,2.130081
13.3667,7.0821,2.09709
23.2517,1.7572,2.169246
9.9044,4.956,2.150954
21.1843,6.7839,2.130332
22.0542,7.653,2.160011
16.2605,5.7906,2.088797
5.2962,8.0667,2.131549
18.7163,0.564,2.134324
11.314,5.4867,2.04323
15.3781,2.143,2.098947
14.7483,7.5849,2.094571
6.0991,5.3556,2.114213
19.4097,2.992,2.118455
10.8278,2.772,2.1664
20.7323,0.2135,2.117824
8.1238,4.2519,2.072721
19.7358,3.6407,2.108452
